Cell Name,Lineaging Name
VA11,P11.aaaa
VA12,P12.aaaa
VB1,P1.aaap
VB2,W.aap
VB3,P2.aaap
VB4,P3.aaap
VB5,P4.aaap
VB6,P5.aaap
VB7,P6.aaap
VB8,P7.aaap
VB9,P8.aaap
VB10,P9.aaap
VB11,P10.aaap
VC1,P3.aap
VC2,P4.aap
VC3,P5.aap
VC4,P6.aap
VC5,P7.aap
VC6,P8.aap
VD1,W.pp
VD2,P1.app
VD3,P2.app
VD4,P3.app
VD5,P4.app
VD6,P5.app
VD7,P6.app
VD8,P7.app
VD9,P8.app
VD10,P9.app
VD11,P10.app
VD12,P11.app
VD13,P12.app
W,AB prapaapa
XXXL,AB plaaapaa
XXXR,AB arpappaa
Y,AB prpppaaaa
Z1,MS pppaap
Z2,P4 p
Z3,P4 a
Z4,MS appaap
arc ant DR,AB araaapppa
arc ant DL,AB alpaappaa
arc ant V,AB alpapaapa
arc post DL,AB alpaapaaa
arc post VL,AB alpaappap
arc post DR,AB araaapaaa
arc post D,AB araaappaa
arc post VR,AB araaappap
arc post V,AB arapapapa
cc herm DL,M.dlpa
cc herm DR,M.drpa
cc male D,M.dlpappp
ccAL,MS apapaaa
ccAR,MS ppapaaa
ccPL,MS apapaap
ccPR,MS ppapaap
e1D,AB araaaapap
e1VL,AB araaaaaaa
e1VR,AB araaaaapa
e2DL,AB alpaapaap
e2DR,AB araaapaap
e2V,AB alpappapa
e3D,AB araapaaaa
e3VL,AB alpaaaaaa
e3VR,AB arapaaaaa
exc_cell,AB plpappaap
exc_duct,AB plpaaaapa
exc_gl_L,AB plpapapaa
exc_gl_R,AB prpapapaa
exc_socket,G2.p
g1AL,MS aapaapaa
g1AR,MS papaapaa
g1P,MS aaaaapap
g2L,MS aapapaa
g2R,MS papapaa
gon_herm_anch,Z1.ppp/Z4.aaa
gon_herm_dtc_A,Z1.aa
gon_herm_dtc_B,Z4.pp
gon_herm_dish_A,Z1.apa
gon_herm_dish_A,Z1.paaa
gon_herm_dish_P,Z4.pap
gon_herm_dish_P,Z4.appp
gon_herm_prsh_A,Z1.appaaa
gon_herm_prsh_A,Z1.appaap
gon_herm_prsh_A,Z1.appapa
gon_herm_prsh_A,Z1.appapp
gon_herm_prsh_A,Z1.paapaaa
gon_herm_prsh_A,Z1.paapaap
gon_herm_prsh_A,Z1.paapapa
gon_herm_prsh_A,Z1.paapapp
gon_herm_prsh_P,Z4.paapaa
gon_herm_prsh_P,Z4.paapap
gon_herm_prsh_P,Z4.paappa
gon_herm_prsh_P,Z4.paappp
gon_herm_prsh_P,Z4.appapaa
gon_herm_prsh_P,Z4.appapap
gon_herm_prsh_P,Z4.appappa
gon_herm_prsh_P,Z4.appappp
gon_herm_spth_A,Z1.apppaaaa
gon_herm_spth_A,Z1.apppaaap
gon_herm_spth_A,Z1.apppaapa
gon_herm_spth_A,Z1.apppaapp
gon_herm_spth_A,Z1.apppapaa
gon_herm_spth_A,Z1.apppapap
gon_herm_spth_A,Z1.apppapp
gon_herm_spth_A,Z1.appppa
gon_herm_spth_A,Z1.appppp
gon_herm_spth_A,Z1.paappaaaa
gon_herm_spth_A,Z1.paappaaap
gon_herm_spth_A,Z1.paappaapa
gon_herm_spth_A,Z1.paappaapp
gon_herm_spth_A,Z1.paappapaa
gon_herm_spth_A,Z1.paappapap
gon_herm_spth_A,Z1.paappapp
gon_herm_spth_A,Z1.paapppa
gon_herm_spth_A,Z1.paapppp
gon_herm_spth_A,Z1.papaaad
gon_herm_spth_A,Z1.papaaav
gon_herm_spth_A,Z1.papaapv
gon_herm_spth_A,Z4.apaaaad
gon_herm_spth_A,Z4.apaaaav
gon_herm_spth_A,Z4.apaaapv
gon_herm_spth_P,Z4.paaaaa
gon_herm_spth_P,Z4.paaaap
gon_herm_spth_P,Z4.paaapaa
gon_herm_spth_P,Z4.paaapapa
gon_herm_spth_P,Z4.paaapapp
gon_herm_spth_P,Z4.paaappaa
gon_herm_spth_P,Z4.paaappap
gon_herm_spth_P,Z4.paaapppa
gon_herm_spth_P,Z4.paaapppp
gon_herm_spth_P,Z4.appaaaa
gon_herm_spth_P,Z4.appaaap
gon_herm_spth_P,Z4.appaapaa
gon_herm_spth_P,Z4.appaapapa
gon_herm_spth_P,Z4.appaapapp
gon_herm_spth_P,Z4.appaappaa
gon_herm_spth_P,Z4.appaappap
gon_herm_spth_P,Z4.appaapppa
gon_herm_spth_P,Z4.appaapppp
gon_herm_spth_P,Z4.apappav
gon_herm_spth_P,Z4.apapppd
gon_herm_spth_P,Z4.apapppv
gon_herm_spth_P,Z1.papppav
gon_herm_spth_P,Z1.pappppd
gon_herm_spth_P,Z1.pappppv
gon_herm_sujn_A,Z1.papaapd
gon_herm_sujn_A,Z1.papapaaa
gon_herm_sujn_A,Z1.ppaaaaa
gon_herm_sujn_A,Z1.ppaaapa
gon_herm_sujn_A,Z4.apaaapd
gon_herm_sujn_A,Z4.apaapaaa
gon_herm_sujn_P,Z1.pappappp
gon_herm_sujn_P,Z1.papppad
gon_herm_sujn_P,Z4.apapappp
gon_herm_sujn_P,Z4.apappad
gon_herm_sujn_P,Z4.aapppap
gon_herm_sujn_P,Z4.aappppp
gon_herm_dut,Z1.papapaap
gon_herm_dut,Z1.papapapa
gon_herm_dut,Z1.papapapp
gon_herm_dut,Z1.papappaa
gon_herm_dut,Z1.papappap
gon_herm_dut,Z1.papapppa
gon_herm_dut,Z1.papapppp
gon_herm_dut,Z1.pappaaaa
gon_herm_dut,Z1.pappaaap
gon_herm_dut,Z1.pappaapa
gon_herm_dut,Z1.pappaapp
gon_herm_dut,Z1.pappapaa
gon_herm_dut,Z1.pappapap
gon_herm_dut,Z1.pappappa
gon_herm_dut,Z4.apaapaap
gon_herm_dut,Z4.apaapapa
gon_herm_dut,Z4.apaapapp
gon_herm_dut,Z4.apaappaa
gon_herm_dut,Z4.apaappap
gon_herm_dut,Z4.apaapppa
gon_herm_dut,Z4.apaapppp
gon_herm_dut,Z4.apapaaaa
gon_herm_dut,Z4.apapaaap
gon_herm_dut,Z4.apapaapa
gon_herm_dut,Z4.apapaapp
gon_herm_dut,Z4.apapapaa
gon_herm_dut,Z4.apapapap
gon_herm_dut,Z4.apapappa
gon_herm_vut,Z1.ppaaaap
gon_herm_vut,Z1.ppaaapp
gon_herm_vut,Z1.ppaapaa
gon_herm_vut,Z1.ppaapap
gon_herm_vut,Z1.ppaappa
gon_herm_vut,Z1.ppaappp
gon_herm_vut,Z1.ppapaaa
gon_herm_vut,Z1.ppapaap
gon_herm_vut,Z1.ppapapa
gon_herm_vut,Z1.ppapapp
gon_herm_vut,Z1.ppappd
gon_herm_vut,Z1.pppaad
gon_herm_vut,Z1.pppaav
gon_herm_vut,Z1.pppapd
gon_herm_vut,Z1.pppapv
gon_herm_vut,Z1.ppppad
gon_herm_vut,Z1.ppppav
gon_herm_vut,Z1.pppppaa
gon_herm_vut,Z1.pppppap
gon_herm_vut,Z1.ppppppa
gon_herm_vut,Z1.ppppppp
gon_herm_vut,Z4.aapaad
gon_herm_vut,Z4.aapaav
gon_herm_vut,Z4.aapapd
gon_herm_vut,Z4.aapapv
gon_herm_vut,Z4.aappaaa
gon_herm_vut,Z4.aappaap
gon_herm_vut,Z4.aappapa
gon_herm_vut,Z4.aappapp
gon_herm_vut,Z4.aapppaa
gon_herm_vut,Z4.aappppa
gon_herm_vut,Z1.ppaaaap
gon_herm_vut,Z1.ppaaapp
gon_herm_vut,Z1.ppaapaa
gon_herm_vut,Z1.ppaapap
gon_herm_vut,Z1.ppaappa
gon_herm_vut,Z1.ppaappp
gon_herm_vut,Z1.ppapad
gon_herm_vut,Z1.ppapav
gon_herm_vut,Z1.ppappd
gon_herm_vut,Z1.ppappv
gon_herm_vut,Z4.aaaaaaa
gon_herm_vut,Z4.aaaaaap
gon_herm_vut,Z4.aaaaapa
gon_herm_vut,Z4.aaaaapp
gon_herm_vut,Z4.aaaapd
gon_herm_vut,Z4.aaaapv
gon_herm_vut,Z4.aaapad
gon_herm_vut,Z4.aaapav
gon_herm_vut,Z4.aaappv
gon_herm_vut,Z4.aaappd
gon_herm_vut,Z4.aapaad
gon_herm_vut,Z4.aapaav
gon_herm_vut,Z4.aapapaa
gon_herm_vut,Z4.aapapap
gon_herm_vut,Z4.aapappa
gon_herm_vut,Z4.aapappp
gon_herm_vut,Z4.aappaaa
gon_herm_vut,Z4.aappaap
gon_herm_vut,Z4.aappppa
gon_herm_vut,Z4.aappppp
gon_herm_vut,Z4.aapppaa
gon_herm_vut,Z4.aapppap
gon_male_dtc,Z1.a
gon_male_dtc,Z1.p
gon_male_link,Z1.paa/Z4.aaa
gon_male_sves,Z1.ppaaaaa
gon_male_sves,Z1.ppaaaap
gon_male_sves,Z1.ppaaap
gon_male_sves,Z1.ppaap
gon_male_sves,Z1.ppap
gon_male_sves,Z1.pppaaaa
gon_male_sves,Z1.pppaaap
gon_male_sves,Z1.pppaap
gon_male_sves,Z1.pppap
gon_male_sves,Z1.pppp
gon_male_sves,Z1.pappp
gon_male_sves,Z4.aaapp
gon_male_sves,Z4.aappp
gon_male_sves,Z4.apaaaaa
gon_male_sves,Z4.apaaaap
gon_male_sves,Z4.apaaap
gon_male_sves,Z4.apaap
gon_male_sves,Z4.apap
gon_male_sves,Z4.appaaaa
gon_male_sves,Z4.appaaap
gon_male_sves,Z4.appaap
gon_male_sves,Z4.appap
gon_male_sves,Z4.appp
gon_male_sves,Z1.paapp
gon_male_vdef,Z1.papaaaa
gon_male_vdef,Z1.papaaap
gon_male_vdef,Z1.papaapaa
gon_male_vdef,Z1.papaapap
gon_male_vdef,Z1.papaappaa
gon_male_vdef,Z1.papaappap
gon_male_vdef,Z1.papaappp
gon_male_vdef,Z1.papapa
gon_male_vdef,Z1.papapp
gon_male_vdef,Z1.pappa
gon_male_vdef,Z4.aaaaaaa
gon_male_vdef,Z4.aaaaaap
gon_male_vdef,Z4.aaaaapaa
gon_male_vdef,Z4.aaaaapap
gon_male_vdef,Z4.aaaaappaa
gon_male_vdef,Z4.aaaaappap
gon_male_vdef,Z4.aaaaappp
gon_male_vdef,Z4.aaaapa
gon_male_vdef,Z4.aaaapp
gon_male_vdef,Z4.aaapa
gon_male_vdef,Z4.aapaaaa
gon_male_vdef,Z4.aapaaap
gon_male_vdef,Z4.aapaapaa
gon_male_vdef,Z4.aapaapap
gon_male_vdef,Z4.aapaappaa
gon_male_vdef,Z4.aapaappap
gon_male_vdef,Z4.aapaappp
gon_male_vdef,Z4.aapapa
gon_male_vdef,Z4.aapapp
gon_male_vdef,Z4.aappa
gon_male_vdef,Z1.paaaaaa
gon_male_vdef,Z1.paaaaap
gon_male_vdef,Z1.paaaapaa
gon_male_vdef,Z1.paaaapap
gon_male_vdef,Z1.paaaappaa
gon_male_vdef,Z1.paaaappap
gon_male_vdef,Z1.paaaappp
gon_male_vdef,Z1.paaapa
gon_male_vdef,Z1.paaapp
gon_male_vdef,Z1.paapa
hmc,MS appaaa
hyp1,AB alpaapppa
hyp1,AB araaapppp
hyp1,AB arappaapa
hyp2,AB alpaapppp
hyp2,AB alpapaaap
hyp3,AB plaapaaaa
hyp3,AB praapaaaa
hyp4,AB arpapapa
hyp4,AB plaappaa
hyp4,AB praappaa
hyp5,AB arpappap
hyp5,AB plaaapap
hyp6,AB arpaapaa
hyp6,AB arpapapp
hyp6,AB plaaaapa
hyp6,AB plaaaapp
hyp6,AB plaappap
hyp6,AB praappap
hyp7,AB arpaapap
hyp7,AB arpaappa
hyp7,AB arpaappp
hyp7,AB arppaapa
hyp7,AB arpppapa
hyp7,AB plaapppa
hyp7,AB plaapppp
hyp7,AB plappppa
hyp7,AB praapppa
hyp7,AB praapppp
hyp7,AB prappppa
hyp7,C aaaaa
hyp7,C aaaap
hyp7,C aaapa
hyp7,C aaapp
hyp7,C aappd
hyp7,C paaaa
hyp7,C paaap
hyp7,C paapa
hyp7,C paapp
hyp7,C papaa
hyp7,C papap
hyp7,C pappd
hyp7,H1L.apa
hyp7,H1L.appa
hyp7,H1L.p
hyp7,H1R.apa
hyp7,H1R.appa
hyp7,H1R.p
hyp7,H2L.ap
hyp7,H2L.pa
hyp7,H2L.ppa
hyp7,H2L.pppa
hyp7,H2R.ap
hyp7,H2R.pa
hyp7,H2R.ppa
hyp7,H2R.pppa
hyp7,V1L.a
hyp7,V1L.paa
hyp7,V1L.papa
hyp7,V1L.pappa
hyp7,V1L.ppa
hyp7,V1L.pppa
hyp7,V1L.ppppa
hyp7,V1R.a
hyp7,V1R.paa
hyp7,V1R.papa
hyp7,V1R.pappa
hyp7,V1R.ppa
hyp7,V1R.pppa
hyp7,V1R.ppppa
hyp7,V2L.a
hyp7,V2L.paa
hyp7,V2L.papa
hyp7,V2L.pappa
hyp7,V2L.ppa
hyp7,V2L.pppa
hyp7,V2L.ppppa
hyp7,V2R.a
hyp7,V2R.paa
hyp7,V2R.papa
hyp7,V2R.pappa
hyp7,V2R.ppa
hyp7,V2R.pppa
hyp7,V2R.ppppa
hyp7,V3L.a
hyp7,V3L.paa
hyp7,V3L.papa
hyp7,V3L.pappa
hyp7,V3L.ppa
hyp7,V3L.pppa
hyp7,V3L.ppppa
hyp7,V3R.a
hyp7,V3R.paa
hyp7,V3R.papa
hyp7,V3R.pappa
hyp7,V3R.ppa
hyp7,V3R.pppa
hyp7,V3R.ppppa
hyp7,V4L.a
hyp7,V4L.paa
hyp7,V4L.papa
hyp7,V4L.pappa
hyp7,V4L.ppa
hyp7,V4L.pppa
hyp7,V4L.ppppa
hyp7,V4R.a
hyp7,V4R.paa
hyp7,V4R.papa
hyp7,V4R.pappa
hyp7,V4R.ppa
hyp7,V4R.pppa
hyp7,V4R.ppppa
hyp7,V5L.a
hyp7,V5L.ppa
